Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
ERR038039	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	858898.0	pass	fail	fail	51.0	92.8881615613	ERR038039.fastq	fail	pass
ERR038041	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	769919.0	pass	fail	warn	51.0	94.7412477932	ERR038041.fastq	fail	pass
ERR038042	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	968378.0	pass	fail	warn	53.0	93.1367076469	ERR038042.fastq	fail	pass
ERR038043	pass	0.0	pass	115.0	Sanger / Illumina 1.9	fail	pass	pass	115.0	Conventional base calls	pass	pass	972949.0	pass	fail	warn	51.0	92.9174869393	ERR038043.fastq	fail	pass
ERR044728	pass	0.0	pass	150.0	Sanger / Illumina 1.9	fail	pass	pass	150.0	Conventional base calls	pass	warn	5685723.0	pass	warn	pass	51.0	86.1770281708	ERR044728.fastq		pass
ERR044729	pass	0.0	pass	150.0	Sanger / Illumina 1.9	fail	pass	pass	150.0	Conventional base calls	pass	warn	6392840.0	pass	warn	pass	52.0	84.2907971558	ERR044729.fastq		pass
ERR064836	pass	0.0	pass	150.0	Sanger / Illumina 1.9	fail	pass	pass	150.0	Conventional base calls	pass	warn	5493600.0	warn	warn	pass	51.0	90.6424222169	ERR064836.fastq		pass
ERR064837	pass	0.0	pass	150.0	Sanger / Illumina 1.9	fail	pass	pass	150.0	Conventional base calls	pass	warn	6545579.0	warn	warn	pass	51.0	89.0359895607	ERR064837.fastq		pass
ERR064838	pass	0.0	pass	150.0	Sanger / Illumina 1.9	fail	pass	pass	150.0	Conventional base calls	pass	pass	5669760.0	warn	warn	pass	51.0	90.3941898323	ERR064838.fastq		pass
ERR064839	pass	0.0	pass	150.0	Sanger / Illumina 1.9	fail	pass	pass	150.0	Conventional base calls	pass	warn	5996653.0	warn	warn	pass	51.0	89.724916746	ERR064839.fastq		pass
ERR064840	pass	0.0	pass	150.0	Sanger / Illumina 1.9	fail	pass	pass	150.0	Conventional base calls	pass	warn	6214809.0	warn	warn	pass	51.0	89.1613569081	ERR064840.fastq		pass
ERR212511	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1218918.0	pass	pass	pass	51.0	96.2914253267	ERR212511.fastq		pass
ERR212512	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1435335.0	pass	pass	pass	51.0	95.4059209565	ERR212512.fastq		pass
ERR212513	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1964392.0	pass	pass	pass	51.0	93.8575201713	ERR212513.fastq		pass
ERR212514	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1588971.0	pass	pass	pass	51.0	94.8318320381	ERR212514.fastq		pass
ERR212515	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1983334.0	pass	pass	pass	51.0	94.1280343937	ERR212515.fastq		pass
ERR212517	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1270145.0	pass	pass	pass	51.0	95.9010352425	ERR212517.fastq		pass
ERR212518	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	pass	1633120.0	pass	pass	pass	50.0	97.6497912093	ERR212518.fastq		pass
ERR212521	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1422517.0	pass	pass	pass	51.0	95.2107161917	ERR212521.fastq		pass
ERR212522	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1234672.0	pass	pass	pass	51.0	95.9274290246	ERR212522.fastq		pass
ERR212523	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2118685.0	pass	pass	pass	51.0	93.7662244543	ERR212523.fastq		pass
ERR212529	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1464559.0	pass	pass	pass	51.0	95.3737905099	ERR212529.fastq		pass
ERR212530	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1530352.0	pass	pass	pass	51.0	95.0432248972	ERR212530.fastq		pass
ERR212558	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1912246.0	pass	pass	pass	51.0	93.7635116489	ERR212558.fastq		pass
ERR212563	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	948321.0	pass	pass	pass	51.0	96.7073719482	ERR212563.fastq		pass
ERR212565	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	914412.0	pass	pass	pass	51.0	96.8892295141	ERR212565.fastq		pass
ERR212566	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	895917.0	pass	pass	pass	51.0	96.7311271005	ERR212566.fastq		pass
ERR212571	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1334141.0	pass	pass	pass	51.0	95.9239959331	ERR212571.fastq		pass
ERR212593	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2035190.0	pass	pass	pass	51.0	93.7875000506	ERR212593.fastq		pass
ERR212595	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1193761.0	pass	pass	pass	51.0	96.007442981	ERR212595.fastq		pass
ERR212605	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1623097.0	pass	pass	pass	52.0	95.2260656466	ERR212605.fastq		pass
ERR212606	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1476562.0	pass	pass	pass	51.0	95.0194563273	ERR212606.fastq		pass
ERR212608	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2210885.0	pass	pass	pass	50.0	93.3910775014	ERR212608.fastq		pass
ERR212610	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	fail	2118394.0	pass	pass	pass	48.0	93.9790173194	ERR212610.fastq		pass
ERR212611	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2609947.0	pass	pass	pass	50.0	92.8893687618	ERR212611.fastq		pass
ERR212612	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2908070.0	pass	pass	pass	50.0	92.0098050384	ERR212612.fastq		pass
ERR212613	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2486566.0	pass	pass	pass	50.0	92.8378288706	ERR212613.fastq		pass
ERR212615	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2394906.0	pass	pass	pass	51.0	92.9427582919	ERR212615.fastq		pass
ERR212616	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2811754.0	pass	pass	pass	50.0	92.4498819033	ERR212616.fastq		pass
ERR212617	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1951653.0	pass	pass	pass	50.0	94.0413159822	ERR212617.fastq		pass
ERR212618	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2422312.0	pass	pass	pass	50.0	93.2728532643	ERR212618.fastq		pass
ERR212623	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	fail	2675657.0	pass	pass	pass	48.0	93.4962225142	ERR212623.fastq		pass
ERR212627	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	3198363.0	pass	pass	pass	50.0	91.7217009938	ERR212627.fastq		pass
ERR212631	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2288447.0	pass	pass	pass	50.0	92.9841305874	ERR212631.fastq		pass
ERR212641	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2676265.0	pass	pass	pass	50.0	92.5690889404	ERR212641.fastq		pass
ERR212663	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1233792.0	pass	pass	pass	50.0	95.4623813931	ERR212663.fastq		pass
ERR212668	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	fail	1255683.0	pass	pass	pass	50.0	95.2893663495	ERR212668.fastq		pass
ERR212675	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2632569.0	pass	pass	pass	50.0	92.8395581897	ERR212675.fastq		pass
ERR235134	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	3238456.0	pass	warn	pass	51.0	88.1564604258	ERR235134.fastq		pass
ERR235136	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1783913.0	pass	warn	pass	51.0	94.3187272013	ERR235136.fastq		pass
ERR235143	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	pass	2163762.0	pass	warn	pass	49.0	98.182275004	ERR235143.fastq		pass
ERR235144	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1817641.0	pass	warn	pass	51.0	94.3001676638	ERR235144.fastq		pass
ERR235153	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	3352538.0	pass	warn	pass	51.0	90.9458085583	ERR235153.fastq		pass
ERR235164	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1101418.0	pass	warn	pass	51.0	96.1785015456	ERR235164.fastq		pass
ERR235185	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	948282.0	pass	warn	pass	51.0	96.5079808807	ERR235185.fastq		pass
ERR235197	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1696955.0	pass	warn	pass	51.0	94.1831387474	ERR235197.fastq		pass
ERR235198	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2178458.0	pass	warn	pass	51.0	93.3908214184	ERR235198.fastq		pass
ERR235199	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2123735.0	pass	warn	pass	51.0	93.4013255023	ERR235199.fastq		pass
ERR235200	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1905210.0	pass	warn	pass	51.0	94.4694095449	ERR235200.fastq		pass
ERR235201	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2312008.0	pass	warn	pass	51.0	92.8420851708	ERR235201.fastq		pass
ERR235202	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2786108.0	pass	warn	pass	51.0	91.6074743033	ERR235202.fastq		pass
ERR235203	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2615865.0	pass	warn	pass	51.0	92.880585577	ERR235203.fastq		pass
ERR235204	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2637123.0	pass	warn	pass	51.0	92.8805533794	ERR235204.fastq		pass
ERR235205	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	234537.0	pass	warn	pass	51.0	98.6150988652	ERR235205.fastq		pass
ERR235208	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1793772.0	pass	warn	pass	51.0	93.283798522	ERR235208.fastq		pass
ERR235210	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2010399.0	pass	warn	pass	51.0	93.8682706386	ERR235210.fastq		pass
ERR235211	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2279532.0	pass	warn	pass	51.0	93.635974176	ERR235211.fastq		pass
ERR235212	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	3430261.0	pass	warn	pass	51.0	91.4149145905	ERR235212.fastq		pass
ERR235213	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1987127.0	pass	warn	pass	51.0	93.9533087137	ERR235213.fastq		pass
ERR235216	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1953753.0	pass	pass	pass	51.0	94.1358008389	ERR235216.fastq		pass
ERR235217	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2342510.0	pass	warn	pass	51.0	92.9873742575	ERR235217.fastq		pass
ERR235218	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2713779.0	pass	warn	pass	51.0	91.8058595427	ERR235218.fastq		pass
ERR235219	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2761893.0	pass	warn	pass	51.0	92.361845748	ERR235219.fastq		pass
ERR235221	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2010721.0	pass	warn	pass	51.0	93.8008079471	ERR235221.fastq		pass
ERR235222	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	fail	2651218.0	pass	fail	pass	51.0	91.6624763998	ERR235222.fastq		pass
ERR235224	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1837094.0	pass	warn	pass	51.0	93.5360800332	ERR235224.fastq		pass
ERR235225	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	3129200.0	pass	warn	pass	51.0	90.4463700941	ERR235225.fastq		pass
ERR235226	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	3255145.0	pass	warn	pass	51.0	90.2104910639	ERR235226.fastq		pass
ERR235227	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2690562.0	pass	warn	pass	51.0	92.3323813436	ERR235227.fastq		pass
ERR235228	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2611579.0	pass	warn	pass	51.0	92.7541696112	ERR235228.fastq		pass
ERR235229	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2406361.0	pass	warn	pass	51.0	92.0608671376	ERR235229.fastq		pass
ERR235231	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2601804.0	pass	pass	pass	51.0	91.6078049244	ERR235231.fastq		pass
ERR235232	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1804694.0	pass	warn	pass	51.0	93.702025748	ERR235232.fastq		pass
ERR235233	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2037884.0	pass	pass	pass	51.0	93.8600648716	ERR235233.fastq		pass
ERR235234	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2094369.0	pass	warn	pass	51.0	94.0567933952	ERR235234.fastq		pass
ERR235235	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2279013.0	pass	warn	pass	51.0	93.5090661933	ERR235235.fastq		pass
ERR235236	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2493830.0	pass	warn	pass	51.0	92.0915659015	ERR235236.fastq		pass
ERR235237	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2290953.0	pass	warn	pass	51.0	92.8014521113	ERR235237.fastq		pass
ERR235238	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2410860.0	pass	warn	pass	51.0	92.6740987841	ERR235238.fastq		pass
ERR235239	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	3183861.0	pass	warn	pass	51.0	90.2412753623	ERR235239.fastq		pass
ERR235240	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2274571.0	pass	warn	pass	51.0	93.2411091509	ERR235240.fastq		pass
ERR235241	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	301785.0	pass	warn	warn	51.0	98.1104680443	ERR235241.fastq		pass
ERR235242	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2695515.0	pass	warn	pass	51.0	93.0496253811	ERR235242.fastq		pass
ERR235243	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2195101.0	pass	warn	pass	51.0	93.7356435323	ERR235243.fastq		pass
ERR235244	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1992728.0	pass	warn	pass	51.0	93.9238744985	ERR235244.fastq		pass
ERR235246	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2357964.0	pass	warn	pass	51.0	92.822216832	ERR235246.fastq		pass
ERR235247	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2173924.0	pass	warn	pass	51.0	94.1084215218	ERR235247.fastq		pass
ERR235248	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2840194.0	pass	warn	pass	51.0	91.1308345028	ERR235248.fastq		pass
ERR235249	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	4018911.0	pass	warn	pass	51.0	89.3480260715	ERR235249.fastq		pass
ERR235250	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	4566775.0	pass	warn	pass	51.0	88.6403759383	ERR235250.fastq		pass
ERR235251	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2662614.0	pass	warn	pass	51.0	91.8043918106	ERR235251.fastq		pass
ERR235252	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2744907.0	pass	warn	pass	51.0	91.2094022956	ERR235252.fastq		pass
ERR235253	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2067440.0	pass	warn	pass	51.0	93.788614182	ERR235253.fastq		pass
ERR235254	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2555963.0	pass	warn	pass	51.0	92.2752361244	ERR235254.fastq		pass
ERR235255	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1581931.0	pass	warn	pass	51.0	94.5722038537	ERR235255.fastq		pass
ERR235256	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2136911.0	pass	warn	pass	51.0	93.4017961325	ERR235256.fastq		pass
ERR235257	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	3078377.0	pass	warn	pass	51.0	91.660677774	ERR235257.fastq		pass
ERR235258	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2292845.0	pass	pass	pass	51.0	93.70933998	ERR235258.fastq		pass
ERR235259	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2211860.0	pass	warn	pass	51.0	93.3841278973	ERR235259.fastq		pass
ERR235260	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2241252.0	pass	warn	pass	51.0	93.2281756075	ERR235260.fastq		pass
ERR235261	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1920204.0	pass	warn	pass	51.0	94.076892835	ERR235261.fastq		pass
ERR235262	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	3184940.0	pass	warn	pass	51.0	91.1030321114	ERR235262.fastq		pass
ERR235263	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	429115.0	pass	warn	pass	51.0	97.7966016704	ERR235263.fastq		pass
ERR235264	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	4000540.0	pass	warn	pass	51.0	88.5781430273	ERR235264.fastq		pass
ERR235266	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2297765.0	pass	warn	pass	51.0	94.0209867546	ERR235266.fastq		pass
ERR235269	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1837943.0	pass	warn	pass	51.0	94.100924418	ERR235269.fastq		pass
ERR235270	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1769821.0	pass	pass	pass	51.0	93.8004597641	ERR235270.fastq		pass
ERR235271	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1966822.0	pass	warn	pass	51.0	93.7021063943	ERR235271.fastq		pass
ERR235273	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2076821.0	pass	pass	pass	51.0	94.3196635417	ERR235273.fastq		pass
ERR235274	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1806610.0	pass	pass	pass	51.0	94.5526289566	ERR235274.fastq		pass
ERR235276	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	3155855.0	pass	warn	pass	51.0	90.7148202617	ERR235276.fastq		pass
ERR235279	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2199109.0	pass	warn	pass	51.0	93.15395794	ERR235279.fastq		pass
ERR235281	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2230119.0	pass	pass	pass	51.0	93.9677444076	ERR235281.fastq		pass
ERR235282	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1774779.0	pass	warn	pass	51.0	94.2057045118	ERR235282.fastq		pass
ERR235283	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1997722.0	pass	pass	pass	51.0	94.1013954174	ERR235283.fastq		pass
ERR235285	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1918697.0	pass	warn	pass	51.0	93.8055771244	ERR235285.fastq		pass
ERR235286	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2873966.0	pass	warn	pass	51.0	91.1750844414	ERR235286.fastq		pass
ERR235287	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1989921.0	pass	warn	pass	51.0	93.5701093296	ERR235287.fastq		pass
ERR235288	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1767570.0	pass	warn	pass	51.0	94.5791911558	ERR235288.fastq		pass
ERR235289	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2340047.0	pass	pass	pass	52.0	93.4112793684	ERR235289.fastq		pass
ERR235363	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1539209.0	pass	warn	pass	51.0	94.706277947	ERR235363.fastq		pass
ERR235364	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1964635.0	pass	warn	pass	51.0	93.753650181	ERR235364.fastq		pass
ERR235365	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1515654.0	pass	warn	pass	51.0	94.9595892787	ERR235365.fastq		pass
ERR235366	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	928168.0	pass	warn	pass	51.0	96.5780292826	ERR235366.fastq		pass
ERR235367	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1624513.0	pass	warn	pass	51.0	94.3636912971	ERR235367.fastq		pass
ERR235368	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	979382.0	pass	warn	pass	51.0	96.6318791462	ERR235368.fastq		pass
ERR235372	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	872584.0	pass	warn	pass	51.0	96.64561568	ERR235372.fastq		pass
ERR235373	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1529215.0	pass	warn	pass	51.0	94.6958168021	ERR235373.fastq		pass
