Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
ERR023770	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	warn	3925740.0	pass	fail	fail	53.0	61.2942146042	ERR023770.fastq	pass	pass
ERR023771	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	7729770.0	pass	fail	fail	53.0	56.7229350086	ERR023771.fastq	pass	pass
ERR023773	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	3244087.0	pass	fail	fail	53.0	66.7012624884	ERR023773.fastq	pass	pass
ERR023774	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	2990125.0	pass	fail	fail	52.0	64.3915676813	ERR023774.fastq	pass	pass
ERR023775	warn	0.0	fail	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	2494295.0	pass	fail	fail	55.0	43.0758442812	ERR023775.fastq	pass	pass
ERR023776	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	3782744.0	pass	fail	fail	52.0	68.9485662765	ERR023776.fastq	pass	pass
ERR023777	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	3496678.0	pass	fail	fail	54.0	66.6542184645	ERR023777.fastq	pass	pass
ERR023779	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	1752741.0	pass	fail	fail	52.0	74.1056118375	ERR023779.fastq	fail	pass
ERR023780	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	warn	1445711.0	pass	fail	fail	52.0	73.7699722808	ERR023780.fastq	fail	pass
ERR023781	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	2895803.0	pass	fail	fail	55.0	52.3532424285	ERR023781.fastq	fail	pass
ERR023782	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	warn	3295475.0	pass	fail	fail	52.0	68.3775573222	ERR023782.fastq	fail	pass
ERR023783	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	4647772.0	pass	fail	fail	52.0	65.1705551633	ERR023783.fastq	fail	pass
ERR023784	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	7252486.0	pass	fail	fail	52.0	56.6080420976	ERR023784.fastq	fail	pass
ERR023785	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	2921739.0	pass	fail	fail	53.0	69.4776420887	ERR023785.fastq	fail	pass
ERR023786	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	2496462.0	pass	fail	fail	53.0	65.6790062832	ERR023786.fastq	fail	pass
ERR023788	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	1503900.0	pass	fail	fail	52.0	81.253892108	ERR023788.fastq	fail	pass
ERR023789	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	2900767.0	pass	fail	fail	52.0	63.6460094616	ERR023789.fastq	fail	pass
ERR023790	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	1705953.0	pass	fail	fail	53.0	74.9522690184	ERR023790.fastq	fail	pass
ERR023792	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	2469341.0	pass	fail	fail	52.0	70.228411497	ERR023792.fastq	pass	pass
ERR023793	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	2051879.0	pass	fail	fail	51.0	79.7464834776	ERR023793.fastq	pass	pass
ERR023794	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	6375522.0	pass	fail	fail	53.0	65.7960679759	ERR023794.fastq	pass	pass
ERR023795	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	warn	4198565.0	pass	fail	fail	53.0	66.6228359511	ERR023795.fastq	pass	pass
ERR023796	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	5486844.0	pass	fail	fail	52.0	65.2154964928	ERR023796.fastq	pass	pass
