Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
ERR235222	8.33752360016	51.0	200.0	2651218.0	27.2727272727
ERR235224	6.4639199668	51.0	200.0	1837094.0	0.0
ERR235225	9.55362990586	51.0	200.0	3129200.0	0.0
ERR235226	9.78950893606	51.0	200.0	3255145.0	9.09090909091
ERR235227	7.66761865639	51.0	200.0	2690562.0	9.09090909091
ERR235228	7.24583038881	51.0	200.0	2611579.0	0.0
ERR235229	7.93913286236	51.0	200.0	2406361.0	0.0
ERR235231	8.39219507563	51.0	200.0	2601804.0	0.0
ERR235232	6.29797425203	51.0	200.0	1804694.0	9.09090909091
ERR235233	6.13993512836	51.0	200.0	2037884.0	9.09090909091
ERR235234	5.94320660483	51.0	200.0	2094369.0	0.0
ERR235235	6.49093380674	51.0	200.0	2279013.0	0.0
ERR235236	7.90843409852	51.0	200.0	2493830.0	9.09090909091
ERR235237	7.19854788869	51.0	200.0	2290953.0	0.0
ERR235238	7.32590121592	51.0	200.0	2410860.0	0.0
ERR235239	9.75872463773	51.0	200.0	3183861.0	0.0
ERR235240	6.75889084906	51.0	200.0	2274571.0	9.09090909091
ERR235241	1.88953195565	51.0	200.0	301785.0	9.09090909091
ERR235242	6.95037461894	51.0	200.0	2695515.0	9.09090909091
ERR235243	6.26435646766	51.0	200.0	2195101.0	9.09090909091
ERR235244	6.07612550147	51.0	200.0	1992728.0	0.0
ERR235246	7.177783168	51.0	200.0	2357964.0	0.0
ERR235247	5.89157847825	51.0	200.0	2173924.0	0.0
ERR235248	8.86916549718	51.0	200.0	2840194.0	9.09090909091
ERR235249	10.6519739285	51.0	200.0	4018911.0	9.09090909091
ERR235250	11.3596240617	51.0	200.0	4566775.0	9.09090909091
ERR235251	8.19560818943	51.0	200.0	2662614.0	0.0
ERR235252	8.79059770438	51.0	200.0	2744907.0	9.09090909091
ERR235253	6.21138581802	51.0	200.0	2067440.0	0.0
ERR235254	7.72476387556	51.0	200.0	2555963.0	0.0
ERR235255	5.4277961463	51.0	200.0	1581931.0	9.09090909091
ERR235256	6.59820386754	51.0	200.0	2136911.0	0.0
ERR235257	8.33932222598	51.0	200.0	3078377.0	0.0
ERR235258	6.29066002004	51.0	200.0	2292845.0	9.09090909091
ERR235259	6.61587210268	51.0	200.0	2211860.0	0.0
ERR235260	6.7718243925	51.0	200.0	2241252.0	0.0
ERR235261	5.92310716503	51.0	200.0	1920204.0	0.0
ERR235262	8.89696788855	51.0	200.0	3184940.0	9.09090909091
ERR235263	2.2033983296	51.0	200.0	429115.0	9.09090909091
ERR235264	11.4218569727	51.0	200.0	4000540.0	9.09090909091
ERR235266	5.97901324543	51.0	200.0	2297765.0	9.09090909091
ERR235269	5.89907558199	51.0	200.0	1837943.0	0.0
ERR235270	6.19954023594	51.0	200.0	1769821.0	0.0
ERR235271	6.29789360571	51.0	200.0	1966822.0	9.09090909091
ERR235273	5.68033645833	51.0	200.0	2076821.0	9.09090909091
